Timestamp;Y;Y;rol
30866000;-8.167161E-001;1.336285E+002;1.986218E+002
30877000;-8.174824E-001;1.430133E+002;1.981315E+002
30889000;-8.181942E-001;1.512075E+002;1.970810E+002
30900000;-8.188729E-001;1.529584E+002;2.013532E+002
30911000;-8.196244E-001;1.484060E+002;2.073062E+002
30923000;-8.203849E-001;1.484060E+002;2.073062E+002
30935000;-8.210908E-001;1.439238E+002;2.185820E+002
30946000;-8.216791E-001;1.362198E+002;2.288773E+002
30957000;-8.222624E-001;1.305469E+002;2.351105E+002
30969000;-8.229044E-001;1.192711E+002;2.297878E+002
30981000;-8.236050E-001;1.121275E+002;2.267062E+002
30992000;-8.243877E-001;1.089759E+002;2.248152E+002
31004000;-8.251723E-001;1.089759E+002;2.248152E+002
31015000;-8.258898E-001;1.191311E+002;2.397328E+002
31026000;-8.264927E-001;1.248740E+002;2.482772E+002
31037000;-8.270392E-001;1.221426E+002;2.509386E+002
31048000;-8.275286E-001;1.260646E+002;2.606035E+002
